"ENTITY_EMAIL_ID","ENTITY_ID","ENT_TYP_CD","EMAIL_TYP_CD","EMAIL_ADDR","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KC10001","KC10001","PERSON","WRK","jtester@kuali.org","Y","Y","AAE016CCF58B5107E040DC0A1F8A7C64","1"
"KC10002","KC10002","PERSON","WRK","KULUSER@kuali.org","Y","Y","AAE016CCF58C5107E040DC0A1F8A7C64","1"
"KC10003","KC10003","PERSON","WRK","majors@kuali.org","Y","Y","AAE016CCF58D5107E040DC0A1F8A7C64","1"
"KC10004","KC10004","PERSON","WRK","chew@kuali.org","Y","Y","AAE016CCF58E5107E040DC0A1F8A7C64","1"
"KC10005","KC10005","PERSON","WRK","woods@kuali.org","Y","Y","AAE016CCF58F5107E040DC0A1F8A7C64","1"
"KC10006","KC10006","PERSON","WRK","oblood@kuali.org","Y","Y","AAE016CCF5905107E040DC0A1F8A7C64","1"
"KC10007","KC10007","PERSON","WRK","cate@kuali.org","Y","Y","AAE016CCF5915107E040DC0A1F8A7C64","1"
"KC10008","KC10008","PERSON","WRK","houlihan@kuali.org","Y","Y","AAE016CCF5925107E040DC0A1F8A7C64","1"
"KC10009","KC10009","PERSON","WRK","rbpaulin@kuali.org","Y","Y","AAE016CCF5935107E040DC0A1F8A7C64","1"
"KC10010","KC10010","PERSON","WRK","donugent@kuali.org","Y","Y","AAE016CCF5945107E040DC0A1F8A7C64","1"
"KC10011","KC10011","PERSON","WRK","mbshorte@kuali.org","Y","Y","AAE016CCF5955107E040DC0A1F8A7C64","1"
"KC10012","KC10012","PERSON","WRK","underwoo@kuali.org","Y","Y","AAE016CCF5965107E040DC0A1F8A7C64","1"
"KC10013","KC10013","PERSON","WRK","hweubank@kuali.org","Y","Y","AAE016CCF5975107E040DC0A1F8A7C64","1"
"KC10014","KC10014","PERSON","WRK","lvbarger@kuali.org","Y","Y","AAE016CCF5985107E040DC0A1F8A7C64","1"
"KC10015","KC10015","PERSON","WRK","jckahler@kuali.org","Y","Y","AAE016CCF5995107E040DC0A1F8A7C64","1"
"KC10016","KC10016","PERSON","WRK","byler@kuali.org","Y","Y","AAE016CCF59A5107E040DC0A1F8A7C64","1"
"KC10017","KC10017","PERSON","WRK","aemcafee@kuali.org","Y","Y","AAE016CCF59B5107E040DC0A1F8A7C64","1"
"KC10018","KC10018","PERSON","WRK","westfall@kuali.org","Y","Y","AAE016CCF59C5107E040DC0A1F8A7C64","1"
"KC10019","KC10019","PERSON","WRK","bbshankl@kuali.org","Y","Y","AAE016CCF59D5107E040DC0A1F8A7C64","1"
"KC10020","KC10020","PERSON","WRK","ferland@kuali.org","Y","Y","AAE016CCF59E5107E040DC0A1F8A7C64","1"
"KC10021","KC10021","PERSON","WRK","khcrabtr@kuali.org","Y","Y","AAE016CCF59F5107E040DC0A1F8A7C64","1"
"KC10022","KC10022","PERSON","WRK","felker@kuali.org","Y","Y","AAE016CCF5A05107E040DC0A1F8A7C64","1"
"KC10023","KC10023","PERSON","WRK","martin@kuali.org","Y","Y","AAE016CCF5A15107E040DC0A1F8A7C64","1"
"KC10024","KC10024","PERSON","WRK","sterner@kuali.org","Y","Y","AAE016CCF5A25107E040DC0A1F8A7C64","1"
"KC10025","KC10025","PERSON","WRK","chbayles@kuali.org","Y","Y","AAE016CCF5A35107E040DC0A1F8A7C64","1"
"KC10026","KC10026","PERSON","WRK","tmkato@kuali.org","Y","Y","AAE016CCF5A45107E040DC0A1F8A7C64","1"
"KC10027","KC10027","PERSON","WRK","cphovis@kuali.org","Y","Y","AAE016CCF5A55107E040DC0A1F8A7C64","1"
"KC10028","KC10028","PERSON","WRK","rnmcinty@kuali.org","Y","Y","AAE016CCF5A65107E040DC0A1F8A7C64","1"
"KC10029","KC10029","PERSON","WRK","eagle@kuali.org","Y","Y","AAE016CCF5A75107E040DC0A1F8A7C64","1"
"KC10030","KC10030","PERSON","WRK","mjpond@kuali.org","Y","Y","AAE016CCF5A85107E040DC0A1F8A7C64","1"
"KC10031","KC10031","PERSON","WRK","flaherty@kuali.org","Y","Y","AAE016CCF5A95107E040DC0A1F8A7C64","1"
"KC10032","KC10032","PERSON","WRK","mukoss@kuali.org","Y","Y","AAE016CCF5AA5107E040DC0A1F8A7C64","1"
"KC10033","KC10033","PERSON","WRK","mceacher@kuali.org","Y","Y","AAE016CCF5AB5107E040DC0A1F8A7C64","1"
"KC10034","KC10034","PERSON","WRK","wacuna@kuali.org","Y","Y","AAE016CCF5AC5107E040DC0A1F8A7C64","1"
"KC10035","KC10035","PERSON","WRK","schulte@kuali.org","Y","Y","AAE016CCF5AD5107E040DC0A1F8A7C64","1"
"KC10036","KC10036","PERSON","WRK","odevries@kuali.org","Y","Y","AAE016CCF5AE5107E040DC0A1F8A7C64","1"
"KC10037","KC10037","PERSON","WRK","dxdevane@kuali.org","Y","Y","AAE016CCF5AF5107E040DC0A1F8A7C64","1"
"KC10038","KC10038","PERSON","WRK","psmock@kuali.org","Y","Y","AAE016CCF5B05107E040DC0A1F8A7C64","1"
"KC10039","KC10039","PERSON","WRK","lvclinks@kuali.org","Y","Y","AAE016CCF5B15107E040DC0A1F8A7C64","1"
"KC10040","KC10040","PERSON","WRK","brunelle@kuali.org","Y","Y","AAE016CCF5B25107E040DC0A1F8A7C64","1"
"KC10041","KC10041","PERSON","WRK","cbernal@kuali.org","Y","Y","AAE016CCF5B35107E040DC0A1F8A7C64","1"
"KC10042","KC10042","PERSON","WRK","borst@kuali.org","Y","Y","AAE016CCF5B45107E040DC0A1F8A7C64","1"
"KC10043","KC10043","PERSON","WRK","wsoileau@kuali.org","Y","Y","AAE016CCF5B55107E040DC0A1F8A7C64","1"
"KC10044","KC10044","PERSON","WRK","burd@kuali.org","Y","Y","AAE016CCF5B65107E040DC0A1F8A7C64","1"
"KC10045","KC10045","PERSON","WRK","engel@kuali.org","Y","Y","AAE016CCF5B75107E040DC0A1F8A7C64","1"
"KC10046","KC10046","PERSON","WRK","headley@kuali.org","Y","Y","AAE016CCF5B85107E040DC0A1F8A7C64","1"
"KC10047","KC10047","PERSON","WRK","rpgailey@kuali.org","Y","Y","AAE016CCF5B95107E040DC0A1F8A7C64","1"
"KC10048","KC10048","PERSON","WRK","shields@kuali.org","Y","Y","AAE016CCF5BA5107E040DC0A1F8A7C64","1"
"KC10049","KC10049","PERSON","WRK","elgin@kuali.org","Y","Y","AAE016CCF5BB5107E040DC0A1F8A7C64","1"
"KC10050","KC10050","PERSON","WRK","boman@kuali.org","Y","Y","AAE016CCF5BC5107E040DC0A1F8A7C64","1"
"KC10051","KC10051","PERSON","WRK","duggins@kuali.org","Y","Y","AAE016CCF5BD5107E040DC0A1F8A7C64","1"
"KC10052","KC10052","PERSON","WRK","khowens@kuali.org","Y","Y","AAE016CCF5BE5107E040DC0A1F8A7C64","1"
"KC10053","KC10053","PERSON","WRK","ndarr@kuali.org","Y","Y","AAE016CCF5BF5107E040DC0A1F8A7C64","1"
"KC10054","KC10054","PERSON","WRK","cary@kuali.org","Y","Y","AAE016CCF5C05107E040DC0A1F8A7C64","1"
"KC10055","KC10055","PERSON","WRK","clmcbee@kuali.org","Y","Y","AAE016CCF5C15107E040DC0A1F8A7C64","1"
"KC10056","KC10056","PERSON","WRK","ralston@kuali.org","Y","Y","AAE016CCF5C25107E040DC0A1F8A7C64","1"
"KC10057","KC10057","PERSON","WRK","mwmartin@kuali.org","Y","Y","AAE016CCF5C35107E040DC0A1F8A7C64","1"
"KC10058","KC10058","PERSON","WRK","rrabbit@kuali.org","Y","Y","AAE016CCF5C45107E040DC0A1F8A7C64","1"
"KC10059","KC10059","PERSON","WRK","awdviewer@kuali.org","Y","Y","AAE016CCF5C55107E040DC0A1F8A7C64","1"
"KC10060","KC10060","PERSON","WRK","awddocviewer@kuali.org","Y","Y","AAE016CCF5C65107E040DC0A1F8A7C64","1"
"KC10061","KC10061","PERSON","WRK","awdbudviewer@kuali.org","Y","Y","AAE016CCF5C75107E040DC0A1F8A7C64","1"
"KC10062","KC10062","PERSON","WRK","ipviewer@kuali.org","Y","Y","AAE016CCF5C85107E040DC0A1F8A7C64","1"
"KC10063","KC10063","PERSON","WRK","aslusar@kuali.org","Y","Y","AAE016CCF5C95107E040DC0A1F8A7C64","1"
"KC10064","KC10064","PERSON","WRK","tdurkin@kuali.org","Y","Y","AAE016CCF5CA5107E040DC0A1F8A7C64","1"
"KC10065","KC10065","PERSON","WRK","appadmin@kuali.org","Y","Y","AAE016CCF5CB5107E040DC0A1F8A7C64","1"
"KC10066","KC10066","PERSON","WRK","awdbudapprover@kuali.org","Y","Y","AAE016CCF5CC5107E040DC0A1F8A7C64","1"
"KC10067","KC10067","PERSON","WRK","awdmodifier@kuali.org","Y","Y","AAE016CCF5CD5107E040DC0A1F8A7C64","1"
"KC10068","KC10068","PERSON","WRK","awdbudadmin@kuali.org","Y","Y","AAE016CCF5CE5107E040DC0A1F8A7C64","1"
"KC10069","KC10069","PERSON","WRK","ospadmin@kuali.org","Y","Y","AAE016CCF5CF5107E040DC0A1F8A7C64","1"
"KC10070","KC10070","PERSON","WRK","awdbudaggregator@kuali.org","Y","Y","AAE016CCF5D05107E040DC0A1F8A7C64","1"
"KC10071","KC10071","PERSON","WRK","awdbudmaintainer@kuali.org","Y","Y","AAE016CCF5D15107E040DC0A1F8A7C64","1"
"KC10072","KC10072","PERSON","WRK","awddocmaintainer@kuali.org","Y","Y","AAE016CCF5D25107E040DC0A1F8A7C64","1"
"KC10073","KC10073","PERSON","WRK","awdbudmodifier@kuali.org","Y","Y","AAE016CCF5D35107E040DC0A1F8A7C64","1"
"KC10074","KC10074","PERSON","WRK","deptawdviewer@kuali.org","Y","Y","AAE016CCF5D45107E040DC0A1F8A7C64","1"
"KC10075","KC10075","PERSON","WRK","tempviewer@kuali.org","Y","Y","AAE016CCF5D55107E040DC0A1F8A7C64","1"
"KC10076","KC10076","PERSON","WRK","irbadmin@kuali.org","Y","Y","AAE016CCF5D65107E040DC0A1F8A7C64","1"
"KC10077","KC10077","PERSON","WRK","irbadmin-card@kuali.org","Y","Y","AAE016CCF5D75107E040DC0A1F8A7C64","1"
"KC10078","KC10078","PERSON","WRK","irbaggregator@kuali.org","Y","Y","AAE016CCF5D85107E040DC0A1F8A7C64","1"
"KC10079","KC10079","PERSON","WRK","irbcreate@kuali.org","Y","Y","AAE016CCF5D95107E040DC0A1F8A7C64","1"
"KC10080","KC10080","PERSON","WRK","irbresearcher@kuali.org","Y","Y","AAE016CCF5DA5107E040DC0A1F8A7C64","1"
"KC10081","KC10081","PERSON","WRK","irbreviewer@kuali.org","Y","Y","AAE016CCF5DB5107E040DC0A1F8A7C64","1"
"KC10082","KC10082","PERSON","WRK","irbviewer@kuali.org","Y","Y","AAE016CCF5DC5107E040DC0A1F8A7C64","1"
