"ENTITY_EMAIL_ID","ENTITY_ID","ENT_TYP_CD","EMAIL_TYP_CD","EMAIL_ADDR","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KCoeus10001","KCoeus10001","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAB9A6E9E040DC0A1F8A0F5D",1
"KCoeus10002","KCoeus10002","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBABAA6E9E040DC0A1F8A0F5D",1
"KCoeus10003","KCoeus10003","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBABBA6E9E040DC0A1F8A0F5D",1
"KCoeus10004","KCoeus10004","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBABCA6E9E040DC0A1F8A0F5D",1
"KCoeus10005","KCoeus10005","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBABDA6E9E040DC0A1F8A0F5D",1
"KCoeus10006","KCoeus10006","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBABEA6E9E040DC0A1F8A0F5D",1
"KCoeus10007","KCoeus10007","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBABFA6E9E040DC0A1F8A0F5D",1
"KCoeus10008","KCoeus10008","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC0A6E9E040DC0A1F8A0F5D",1
"KCoeus10009","KCoeus10009","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC1A6E9E040DC0A1F8A0F5D",1
"KCoeus10010","KCoeus10010","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC2A6E9E040DC0A1F8A0F5D",1
"KCoeus10011","KCoeus10011","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC3A6E9E040DC0A1F8A0F5D",1
"KCoeus10012","KCoeus10012","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC4A6E9E040DC0A1F8A0F5D",1
"KCoeus10013","KCoeus10013","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC5A6E9E040DC0A1F8A0F5D",1
"KCoeus10014","KCoeus10014","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC6A6E9E040DC0A1F8A0F5D",1
"KCoeus10015","KCoeus10015","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC7A6E9E040DC0A1F8A0F5D",1
"KCoeus10016","KCoeus10016","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC8A6E9E040DC0A1F8A0F5D",1
"KCoeus10017","KCoeus10017","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBAC9A6E9E040DC0A1F8A0F5D",1
"KCoeus10018","KCoeus10018","PERSON","WRK","kcnotification@gmail.com","Y","Y","EAAE523DBACAA6E9E040DC0A1F8A0F5D",1
