"ENTITY_EMP_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID","OBJ_ID","VER_NBR","BASE_SLRY_AMT"
"KC10001","KC10001","KC10001",NULL,NULL,"Y","Y","000001","jtester","1","CB413568ABC9AB48E040DC0A1F8A4434",1,100000.00
"KC10002","KC10002","KC10002",NULL,NULL,"Y","Y","000001","KULUSER","1","CB413568ABCAAB48E040DC0A1F8A4434",1,100000.00
"KC10003","KC10003","KC10003",NULL,NULL,"Y","Y","000001","majors","1","CB413568ABCBAB48E040DC0A1F8A4434",1,100000.00
"KC10004","KC10004","KC10004",NULL,NULL,"Y","Y","BL-BL","chew","1","CB413568ABCCAB48E040DC0A1F8A4434",1,100000.00
"KC10005","KC10005","KC10005",NULL,NULL,"Y","Y","IU-UNIV","woods","1","CB413568ABCDAB48E040DC0A1F8A4434",1,100000.00
"KC10006","KC10006","KC10006",NULL,NULL,"Y","Y","BL-RCEN","oblood","1","CB413568ABCEAB48E040DC0A1F8A4434",1,100000.00
"KC10007","KC10007","KC10007",NULL,NULL,"Y","Y","IN-MDEP","cate","1","CB413568ABCFAB48E040DC0A1F8A4434",1,100000.00
"KC10008","KC10008","KC10008",NULL,NULL,"Y","Y","000001","houlihan","1","CB413568ABD0AB48E040DC0A1F8A4434",1,100000.00
"KC10009","KC10009","KC10009",NULL,NULL,"Y","Y","000001","rbpaulin","1","CB413568ABD1AB48E040DC0A1F8A4434",1,100000.00
"KC10010","KC10010","KC10010",NULL,NULL,"Y","Y","000001","donugent","1","CB413568ABD2AB48E040DC0A1F8A4434",1,100000.00
"KC10011","KC10011","KC10011",NULL,NULL,"Y","Y","000001","mbshorte","1","CB413568ABD3AB48E040DC0A1F8A4434",1,100000.00
"KC10012","KC10012","KC10012",NULL,NULL,"Y","Y","000001","underwoo","1","CB413568ABD4AB48E040DC0A1F8A4434",1,100000.00
"KC10013","KC10013","KC10013",NULL,NULL,"Y","Y","000001","hweubank","1","CB413568ABD5AB48E040DC0A1F8A4434",1,100000.00
"KC10014","KC10014","KC10014",NULL,NULL,"Y","Y","000001","lvbarger","1","CB413568ABD6AB48E040DC0A1F8A4434",1,100000.00
