"ENTITY_PHONE_ID","ENTITY_ID","ENT_TYP_CD","PHONE_TYP_CD","PHONE_NBR","PHONE_EXTN_NBR","POSTAL_CNTRY_CD","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KCoeus10002","KCoeus10001","PERSON","WRK","321-321-1198",NULL,"US","Y","Y","D9EDD8E9CC0DC478E040DC0A1F8A3320",1
"KCoeus10003","KCoeus10001","PERSON","FAX","321-321-1259",NULL,"US","N","Y","D9EDD8E9CC0EC478E040DC0A1F8A3320",1
"KCoeus10004","KCoeus10002","PERSON","WRK","321-321-1199",NULL,"US","Y","Y","D9EDD8E9CC0FC478E040DC0A1F8A3320",1
"KCoeus10005","KCoeus10002","PERSON","FAX","321-321-1260",NULL,"US","N","Y","D9EDD8E9CC10C478E040DC0A1F8A3320",1
"KCoeus10006","KCoeus10003","PERSON","WRK","321-321-1200",NULL,"US","Y","Y","D9EDD8E9CC11C478E040DC0A1F8A3320",1
"KCoeus10007","KCoeus10003","PERSON","FAX","321-321-1261",NULL,"US","N","Y","D9EDD8E9CC12C478E040DC0A1F8A3320",1
"KCoeus10008","KCoeus10004","PERSON","WRK","321-321-1201",NULL,"US","Y","Y","D9EDD8E9CC13C478E040DC0A1F8A3320",1
"KCoeus10009","KCoeus10004","PERSON","FAX","321-321-1262",NULL,"US","N","Y","D9EDD8E9CC14C478E040DC0A1F8A3320",1
"KCoeus10010","KCoeus10005","PERSON","WRK","321-321-1202",NULL,"US","Y","Y","D9EDD8E9CC15C478E040DC0A1F8A3320",1
"KCoeus10011","KCoeus10005","PERSON","FAX","321-321-1263",NULL,"US","N","Y","D9EDD8E9CC16C478E040DC0A1F8A3320",1
"KCoeus10012","KCoeus10006","PERSON","WRK","321-321-1203",NULL,"US","Y","Y","D9EDD8E9CC17C478E040DC0A1F8A3320",1
"KCoeus10013","KCoeus10006","PERSON","FAX","321-321-1264",NULL,"US","N","Y","D9EDD8E9CC18C478E040DC0A1F8A3320",1
"KCoeus10014","KCoeus10007","PERSON","WRK","321-321-1204",NULL,"US","Y","Y","D9EDD8E9CC19C478E040DC0A1F8A3320",1
"KCoeus10015","KCoeus10007","PERSON","FAX","321-321-1265",NULL,"US","N","Y","D9EDD8E9CC1AC478E040DC0A1F8A3320",1
"KCoeus10016","KCoeus10008","PERSON","WRK","321-321-1205",NULL,"US","Y","Y","D9EDD8E9CC1BC478E040DC0A1F8A3320",1
"KCoeus10017","KCoeus10008","PERSON","FAX","321-321-1266",NULL,"US","N","Y","D9EDD8E9CC1CC478E040DC0A1F8A3320",1
"KCoeus10018","KCoeus10009","PERSON","WRK","321-321-1206",NULL,"US","Y","Y","D9EDD8E9CC1DC478E040DC0A1F8A3320",1
"KCoeus10019","KCoeus10009","PERSON","FAX","321-321-1267",NULL,"US","N","Y","D9EDD8E9CC1EC478E040DC0A1F8A3320",1
"KCoeus10020","KCoeus10010","PERSON","WRK","321-321-1207",NULL,"US","Y","Y","D9EDD8E9CC1FC478E040DC0A1F8A3320",1
"KCoeus10021","KCoeus10010","PERSON","FAX","321-321-1268",NULL,"US","N","Y","D9EDD8E9CC20C478E040DC0A1F8A3320",1
"KCoeus10022","KCoeus10011","PERSON","WRK","321-321-1208",NULL,"US","Y","Y","D9EDD8E9CC21C478E040DC0A1F8A3320",1
"KCoeus10023","KCoeus10011","PERSON","FAX","321-321-1269",NULL,"US","N","Y","D9EDD8E9CC22C478E040DC0A1F8A3320",1
"KCoeus10024","KCoeus10012","PERSON","WRK","321-321-1209",NULL,"US","Y","Y","D9EDD8E9CC23C478E040DC0A1F8A3320",1
"KCoeus10025","KCoeus10012","PERSON","FAX","321-321-1270",NULL,"US","N","Y","D9EDD8E9CC24C478E040DC0A1F8A3320",1
"KCoeus10026","KCoeus10013","PERSON","WRK","321-321-1210",NULL,"US","Y","Y","D9EDD8E9CC25C478E040DC0A1F8A3320",1
"KCoeus10027","KCoeus10013","PERSON","FAX","321-321-1271",NULL,"US","N","Y","D9EDD8E9CC26C478E040DC0A1F8A3320",1
"KCoeus10028","KCoeus10014","PERSON","WRK","321-321-1211",NULL,"US","Y","Y","D9EDD8E9CC27C478E040DC0A1F8A3320",1
"KCoeus10029","KCoeus10014","PERSON","FAX","321-321-1272",NULL,"US","N","Y","D9EDD8E9CC28C478E040DC0A1F8A3320",1
"KCoeus10030","KCoeus10015","PERSON","WRK","321-321-1212",NULL,"US","Y","Y","D9EDD8E9CC29C478E040DC0A1F8A3320",1
"KCoeus10031","KCoeus10015","PERSON","FAX","321-321-1273",NULL,"US","N","Y","D9EDD8E9CC2AC478E040DC0A1F8A3320",1
"KCoeus10032","KCoeus10016","PERSON","WRK","321-321-1213",NULL,"US","Y","Y","D9EDD8E9CC2BC478E040DC0A1F8A3320",1
"KCoeus10033","KCoeus10016","PERSON","FAX","321-321-1274",NULL,"US","N","Y","D9EDD8E9CC2CC478E040DC0A1F8A3320",1
