"PRNCPL_ID","PRNCPL_NM","ENTITY_ID","PRNCPL_PSWD","ACTV_IND","OBJ_ID","VER_NBR"
"10000","kciacucadmin","KCoeus10088","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CEB1C478E040DC0A1F8A3320",1
"10000000002","kcjtester","KCoeus10001","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA72C478E040DC0A1F8A3320",1
"10000000003","kcKULUSER","KCoeus10002","fK69ATFsAydwQuteang+xMva+Tc=","N","D9EDD8E9CA73C478E040DC0A1F8A3320",1
"10000000004","kcmajors","KCoeus10003","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA74C478E040DC0A1F8A3320",1
"10000000005","kcchew","KCoeus10004","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA75C478E040DC0A1F8A3320",1
"10000000006","kcwoods","KCoeus10005","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA76C478E040DC0A1F8A3320",1
"10000000007","kcoblood","KCoeus10006","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA77C478E040DC0A1F8A3320",1
"10000000008","kccate","KCoeus10007","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA78C478E040DC0A1F8A3320",1
"10000000009","kchoulihan","KCoeus10008","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA79C478E040DC0A1F8A3320",1
"10000000010","kcrbpaulin","KCoeus10009","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA7AC478E040DC0A1F8A3320",1
"10000000011","kcdonugent","KCoeus10010","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA7BC478E040DC0A1F8A3320",1
"10000000012","kcmbshorte","KCoeus10011","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA7CC478E040DC0A1F8A3320",1
"10000000013","kcunderwoo","KCoeus10012","fK69ATFsAydwQuteang+xMva+Tc=","Y","D9EDD8E9CA7DC478E040DC0A1F8A3320",1
