"ENTITY_ADDR_ID","ENTITY_ID","ENT_TYP_CD","ADDR_TYP_CD","ADDR_LINE_1","ADDR_LINE_2","ADDR_LINE_3","CITY_NM","POSTAL_STATE_CD","POSTAL_CD","POSTAL_CNTRY_CD","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KC1","KC10003","PERSON","WRK","Test Address","Test Apt","","East Lansing","MI","48823","US","Y","Y","AFE17D0E17A443349DB1495980F560E6","1"
"KC10001","KC10001","PERSON","WRK","1119 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120501B41E040DC0A1F8A7174","1"
"KC10002","KC10002","PERSON","WRK","1120 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120511B41E040DC0A1F8A7174","1"
"KC10003","KC10003","PERSON","WRK","1121 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120521B41E040DC0A1F8A7174","1"
"KC10004","KC10004","PERSON","WRK","1122 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120531B41E040DC0A1F8A7174","1"
"KC10005","KC10005","PERSON","WRK","1123 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120541B41E040DC0A1F8A7174","1"
"KC10006","KC10006","PERSON","WRK","1124 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120551B41E040DC0A1F8A7174","1"
"KC10007","KC10007","PERSON","WRK","1125 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120561B41E040DC0A1F8A7174","1"
"KC10008","KC10008","PERSON","WRK","1126 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120571B41E040DC0A1F8A7174","1"
"KC10009","KC10009","PERSON","WRK","1127 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120581B41E040DC0A1F8A7174","1"
"KC10010","KC10010","PERSON","WRK","1128 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120591B41E040DC0A1F8A7174","1"
"KC10011","KC10011","PERSON","WRK","1129 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031205A1B41E040DC0A1F8A7174","1"
"KC10012","KC10012","PERSON","WRK","1130 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031205B1B41E040DC0A1F8A7174","1"
"KC10013","KC10013","PERSON","WRK","1131 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031205C1B41E040DC0A1F8A7174","1"
"KC10014","KC10014","PERSON","WRK","1132 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031205D1B41E040DC0A1F8A7174","1"
"KC10015","KC10015","PERSON","WRK","1133 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031205E1B41E040DC0A1F8A7174","1"
"KC10016","KC10016","PERSON","WRK","1134 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031205F1B41E040DC0A1F8A7174","1"
"KC10017","KC10017","PERSON","WRK","1135 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120601B41E040DC0A1F8A7174","1"
"KC10018","KC10018","PERSON","WRK","1136 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120611B41E040DC0A1F8A7174","1"
"KC10019","KC10019","PERSON","WRK","1137 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120621B41E040DC0A1F8A7174","1"
"KC10020","KC10020","PERSON","WRK","1138 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120631B41E040DC0A1F8A7174","1"
"KC10021","KC10021","PERSON","WRK","1139 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120641B41E040DC0A1F8A7174","1"
"KC10022","KC10022","PERSON","WRK","1140 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120651B41E040DC0A1F8A7174","1"
"KC10023","KC10023","PERSON","WRK","1141 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120661B41E040DC0A1F8A7174","1"
"KC10024","KC10024","PERSON","WRK","1142 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120671B41E040DC0A1F8A7174","1"
"KC10025","KC10025","PERSON","WRK","1143 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120681B41E040DC0A1F8A7174","1"
"KC10026","KC10026","PERSON","WRK","1144 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120691B41E040DC0A1F8A7174","1"
"KC10027","KC10027","PERSON","WRK","1145 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031206A1B41E040DC0A1F8A7174","1"
"KC10028","KC10028","PERSON","WRK","1146 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031206B1B41E040DC0A1F8A7174","1"
"KC10029","KC10029","PERSON","WRK","1147 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031206C1B41E040DC0A1F8A7174","1"
"KC10030","KC10030","PERSON","WRK","1148 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031206D1B41E040DC0A1F8A7174","1"
"KC10031","KC10031","PERSON","WRK","1149 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031206E1B41E040DC0A1F8A7174","1"
"KC10032","KC10032","PERSON","WRK","1150 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031206F1B41E040DC0A1F8A7174","1"
"KC10033","KC10033","PERSON","WRK","1151 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120701B41E040DC0A1F8A7174","1"
"KC10034","KC10034","PERSON","WRK","1152 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120711B41E040DC0A1F8A7174","1"
"KC10035","KC10035","PERSON","WRK","1153 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120721B41E040DC0A1F8A7174","1"
"KC10036","KC10036","PERSON","WRK","1154 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120731B41E040DC0A1F8A7174","1"
"KC10037","KC10037","PERSON","WRK","1155 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120741B41E040DC0A1F8A7174","1"
"KC10038","KC10038","PERSON","WRK","1156 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120751B41E040DC0A1F8A7174","1"
"KC10039","KC10039","PERSON","WRK","1157 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120761B41E040DC0A1F8A7174","1"
"KC10040","KC10040","PERSON","WRK","1158 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120771B41E040DC0A1F8A7174","1"
"KC10041","KC10041","PERSON","WRK","1159 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120781B41E040DC0A1F8A7174","1"
"KC10042","KC10042","PERSON","WRK","1160 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120791B41E040DC0A1F8A7174","1"
"KC10043","KC10043","PERSON","WRK","1161 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031207A1B41E040DC0A1F8A7174","1"
"KC10044","KC10044","PERSON","WRK","1162 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031207B1B41E040DC0A1F8A7174","1"
"KC10045","KC10045","PERSON","WRK","1163 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031207C1B41E040DC0A1F8A7174","1"
"KC10046","KC10046","PERSON","WRK","1164 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031207D1B41E040DC0A1F8A7174","1"
"KC10047","KC10047","PERSON","WRK","1165 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031207E1B41E040DC0A1F8A7174","1"
"KC10048","KC10048","PERSON","WRK","1166 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031207F1B41E040DC0A1F8A7174","1"
"KC10049","KC10049","PERSON","WRK","1167 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120801B41E040DC0A1F8A7174","1"
"KC10050","KC10050","PERSON","WRK","1168 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120811B41E040DC0A1F8A7174","1"
"KC10051","KC10051","PERSON","WRK","1169 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120821B41E040DC0A1F8A7174","1"
"KC10052","KC10052","PERSON","WRK","1170 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120831B41E040DC0A1F8A7174","1"
"KC10053","KC10053","PERSON","WRK","1171 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120841B41E040DC0A1F8A7174","1"
"KC10054","KC10054","PERSON","WRK","1172 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120851B41E040DC0A1F8A7174","1"
"KC10055","KC10055","PERSON","WRK","1173 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120861B41E040DC0A1F8A7174","1"
"KC10056","KC10056","PERSON","WRK","1174 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120871B41E040DC0A1F8A7174","1"
"KC10057","KC10057","PERSON","WRK","1175 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120881B41E040DC0A1F8A7174","1"
"KC10058","KC10058","PERSON","WRK","1176 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120891B41E040DC0A1F8A7174","1"
"KC10059","KC10059","PERSON","WRK","63 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031208A1B41E040DC0A1F8A7174","1"
"KC10060","KC10060","PERSON","WRK","64 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031208B1B41E040DC0A1F8A7174","1"
"KC10061","KC10061","PERSON","WRK","65 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031208C1B41E040DC0A1F8A7174","1"
"KC10062","KC10062","PERSON","WRK","62 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031208D1B41E040DC0A1F8A7174","1"
"KC10063","KC10063","PERSON","WRK","66 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031208E1B41E040DC0A1F8A7174","1"
"KC10064","KC10064","PERSON","WRK","67 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031208F1B41E040DC0A1F8A7174","1"
"KC10065","KC10065","PERSON","WRK","71 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120901B41E040DC0A1F8A7174","1"
"KC10066","KC10066","PERSON","WRK","72 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120911B41E040DC0A1F8A7174","1"
"KC10067","KC10067","PERSON","WRK","73 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120921B41E040DC0A1F8A7174","1"
"KC10068","KC10068","PERSON","WRK","73 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120931B41E040DC0A1F8A7174","1"
"KC10069","KC10069","PERSON","WRK","73 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120941B41E040DC0A1F8A7174","1"
"KC10070","KC10070","PERSON","WRK","74 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120951B41E040DC0A1F8A7174","1"
"KC10071","KC10071","PERSON","WRK","73 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120961B41E040DC0A1F8A7174","1"
"KC10072","KC10072","PERSON","WRK","75 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120971B41E040DC0A1F8A7174","1"
"KC10073","KC10073","PERSON","WRK","76 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120981B41E040DC0A1F8A7174","1"
"KC10074","KC10074","PERSON","WRK","76 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120991B41E040DC0A1F8A7174","1"
"KC10075","KC10075","PERSON","WRK","77 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031209A1B41E040DC0A1F8A7174","1"
"KC10076","KC10076","PERSON","WRK","1111 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031209B1B41E040DC0A1F8A7174","1"
"KC10077","KC10077","PERSON","WRK","1112 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031209C1B41E040DC0A1F8A7174","1"
"KC10078","KC10078","PERSON","WRK","1113 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031209D1B41E040DC0A1F8A7174","1"
"KC10079","KC10079","PERSON","WRK","1114 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031209E1B41E040DC0A1F8A7174","1"
"KC10080","KC10080","PERSON","WRK","1115 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB85031209F1B41E040DC0A1F8A7174","1"
"KC10081","KC10081","PERSON","WRK","1116 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120A01B41E040DC0A1F8A7174","1"
"KC10082","KC10082","PERSON","WRK","1117 Kuali Drive","","","Coeus","MA","53421","US","Y","Y","AAB8503120A11B41E040DC0A1F8A7174","1"
