"ENTITY_NM_ID","ENTITY_ID","NM_TYP_CD","FIRST_NM","MIDDLE_NM","LAST_NM","SUFFIX_NM","TITLE_NM","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KC10001","KC10001","PRFR","Joe","","Tester","","","Y","Y","AAB850311EE31B41E040DC0A1F8A7174","1"
"KC10002","KC10002","PRFR","KULUSER","","KULUSER","","","Y","N","AAB850311EE51B41E040DC0A1F8A7174","1"
"KC10003","KC10003","PRFR","Nicholas","","Majors","","","Y","Y","AAB850311EE71B41E040DC0A1F8A7174","1"
"KC10004","KC10004","PRFR","Inez","","Chew","","","Y","Y","AAB850311EE91B41E040DC0A1F8A7174","1"
"KC10005","KC10005","PRFR","Della","","Woods","","","Y","Y","AAB850311EEB1B41E040DC0A1F8A7174","1"
"KC10006","KC10006","PRFR","Opal","","Blood","","","Y","Y","AAB850311EED1B41E040DC0A1F8A7174","1"
"KC10007","KC10007","PRFR","Allyson","","Cate","","","Y","Y","AAB850311EEF1B41E040DC0A1F8A7174","1"
"KC10008","KC10008","PRFR","JAY","","HOULIHAN","","","Y","Y","AAB850311EF11B41E040DC0A1F8A7174","1"
"KC10009","KC10009","PRFR","RAYMOND","","PAULIN","","","Y","Y","AAB850311EF31B41E040DC0A1F8A7174","1"
"KC10010","KC10010","PRFR","DOMINIC","","NUGENT","","","Y","Y","AAB850311EF51B41E040DC0A1F8A7174","1"
"KC10011","KC10011","PRFR","MARLON","","SHORTER","","","Y","Y","AAB850311EF71B41E040DC0A1F8A7174","1"
"KC10012","KC10012","PRFR","MARGUERITE","","UNDERWOOD","","","Y","Y","AAB850311EF91B41E040DC0A1F8A7174","1"
"KC10013","KC10013","PRFR","HIRAM","","EUBANK","","","Y","Y","AAB850311EFB1B41E040DC0A1F8A7174","1"
"KC10014","KC10014","PRFR","LLOYD","","BARGER","","","Y","Y","AAB850311EFD1B41E040DC0A1F8A7174","1"
"KC10015","KC10015","PRFR","JUANA","","KAHLER","","","Y","Y","AAB850311EFF1B41E040DC0A1F8A7174","1"
"KC10016","KC10016","PRFR","ELBA","","BYLER","","","Y","Y","AAB850311F011B41E040DC0A1F8A7174","1"
"KC10017","KC10017","PRFR","ALAN","","MCAFEE","","","Y","Y","AAB850311F031B41E040DC0A1F8A7174","1"
"KC10018","KC10018","PRFR","HENRY","","WESTFALL","","","Y","Y","AAB850311F051B41E040DC0A1F8A7174","1"
"KC10019","KC10019","PRFR","BURT","","SHANKLE","","","Y","Y","AAB850311F071B41E040DC0A1F8A7174","1"
"KC10020","KC10020","PRFR","ROBERTA","","FERLAND","","","Y","Y","AAB850311F091B41E040DC0A1F8A7174","1"
"KC10021","KC10021","PRFR","KENDRICK","","CRABTREE","","","Y","Y","AAB850311F0B1B41E040DC0A1F8A7174","1"
"KC10022","KC10022","PRFR","OLIVE","","FELKER","","","Y","Y","AAB850311F0D1B41E040DC0A1F8A7174","1"
"KC10023","KC10023","PRFR","AUDREY","","MARTIN","","","Y","Y","AAB850311F0F1B41E040DC0A1F8A7174","1"
"KC10024","KC10024","PRFR","EVERETTE","","STERNER","","","Y","Y","AAB850311F111B41E040DC0A1F8A7174","1"
"KC10025","KC10025","PRFR","CORINA","","BAYLESS","","","Y","Y","AAB850311F131B41E040DC0A1F8A7174","1"
"KC10026","KC10026","PRFR","THEODORE","","KATO","","","Y","Y","AAB850311F151B41E040DC0A1F8A7174","1"
"KC10027","KC10027","PRFR","CLAUDIA","","HOVIS","","","Y","Y","AAB850311F171B41E040DC0A1F8A7174","1"
"KC10028","KC10028","PRFR","RAFAEL","","MCINTYRE","","","Y","Y","AAB850311F191B41E040DC0A1F8A7174","1"
"KC10029","KC10029","PRFR","EMORY","","EAGLE","","","Y","Y","AAB850311F1B1B41E040DC0A1F8A7174","1"
"KC10030","KC10030","PRFR","MITZI","","POND","","","Y","Y","AAB850311F1D1B41E040DC0A1F8A7174","1"
"KC10031","KC10031","PRFR","ANGELICA","","FLAHERTY","","","Y","Y","AAB850311F1F1B41E040DC0A1F8A7174","1"
"KC10032","KC10032","PRFR","MASON","","KOSS","","","Y","Y","AAB850311F211B41E040DC0A1F8A7174","1"
"KC10033","KC10033","PRFR","ORA","","MCEACHERN","","","Y","Y","AAB850311F231B41E040DC0A1F8A7174","1"
"KC10034","KC10034","PRFR","WM","","ACUNA","","","Y","Y","AAB850311F251B41E040DC0A1F8A7174","1"
"KC10035","KC10035","PRFR","MARITZA","","SCHULTE","","","Y","Y","AAB850311F271B41E040DC0A1F8A7174","1"
"KC10036","KC10036","PRFR","OLIVER","","DEVRIES","","","Y","Y","AAB850311F291B41E040DC0A1F8A7174","1"
"KC10037","KC10037","PRFR","DARREN","","DEVANEY","","","Y","Y","AAB850311F2B1B41E040DC0A1F8A7174","1"
"KC10038","KC10038","PRFR","PAULETTE","","SMOCK","","","Y","Y","AAB850311F2D1B41E040DC0A1F8A7174","1"
"KC10039","KC10039","PRFR","LOGAN","","CLINKSCALES","","","Y","Y","AAB850311F2F1B41E040DC0A1F8A7174","1"
"KC10040","KC10040","PRFR","ANTWAN","","BRUNELLE","","","Y","Y","AAB850311F311B41E040DC0A1F8A7174","1"
"KC10041","KC10041","PRFR","CONCETTA","","BERNAL","","","Y","Y","AAB850311F331B41E040DC0A1F8A7174","1"
"KC10042","KC10042","PRFR","BARBRA","","BORST","","","Y","Y","AAB850311F351B41E040DC0A1F8A7174","1"
"KC10043","KC10043","PRFR","WALLACE","","SOILEAU","","","Y","Y","AAB850311F371B41E040DC0A1F8A7174","1"
"KC10044","KC10044","PRFR","ALTHEA","","BURD","","","Y","Y","AAB850311F391B41E040DC0A1F8A7174","1"
"KC10045","KC10045","PRFR","LOUELLA","","ENGEL","","","Y","Y","AAB850311F3B1B41E040DC0A1F8A7174","1"
"KC10046","KC10046","PRFR","FAYE","","HEADLEY","","","Y","Y","AAB850311F3D1B41E040DC0A1F8A7174","1"
"KC10047","KC10047","PRFR","RONDA","","GAILEY","","","Y","Y","AAB850311F3F1B41E040DC0A1F8A7174","1"
"KC10048","KC10048","PRFR","IVAN","","SHIELDS","","","Y","Y","AAB850311F411B41E040DC0A1F8A7174","1"
"KC10049","KC10049","PRFR","OLIVER","","ELGIN","","","Y","Y","AAB850311F431B41E040DC0A1F8A7174","1"
"KC10050","KC10050","PRFR","BEATRIZ","","BOMAN","","","Y","Y","AAB850311F451B41E040DC0A1F8A7174","1"
"KC10051","KC10051","PRFR","TREVOR","","DUGGINS","","","Y","Y","AAB850311F471B41E040DC0A1F8A7174","1"
"KC10052","KC10052","PRFR","KELLY","","OWENS","","","Y","Y","AAB850311F491B41E040DC0A1F8A7174","1"
"KC10053","KC10053","PRFR","NOELLE","","DARR","","","Y","Y","AAB850311F4B1B41E040DC0A1F8A7174","1"
"KC10054","KC10054","PRFR","CECILE","","CARY","","","Y","Y","AAB850311F4D1B41E040DC0A1F8A7174","1"
"KC10055","KC10055","PRFR","CHARITY","","MCBEE","","","Y","Y","AAB850311F4F1B41E040DC0A1F8A7174","1"
"KC10056","KC10056","PRFR","DAMON","","RALSTON","","","Y","Y","AAB850311F511B41E040DC0A1F8A7174","1"
"KC10057","KC10057","PRFR","MERRILL","","MARTIN","","","Y","Y","AAB850311F531B41E040DC0A1F8A7174","1"
"KC10058","KC10058","PRFR","Roger","","Rabbit","","","Y","Y","AAB850311F551B41E040DC0A1F8A7174","1"
"KC10059","KC10059","PRFR","Award","","Viewer","","","Y","Y","AAB850311F571B41E040DC0A1F8A7174","1"
"KC10060","KC10060","PRFR","Award Doc","","Viewer","","","Y","Y","AAB850311F591B41E040DC0A1F8A7174","1"
"KC10061","KC10061","PRFR","Award Budget","","Viewer","","","Y","Y","AAB850311F5B1B41E040DC0A1F8A7174","1"
"KC10062","KC10062","PRFR","Institutional Proposal","","Viewer","","","Y","Y","AAB850311F5D1B41E040DC0A1F8A7174","1"
"KC10063","KC10063","PRFR","Andrew","","Slusar","","","Y","Y","AAB850311F5F1B41E040DC0A1F8A7174","1"
"KC10064","KC10064","PRFR","Terry","","Durkin","","","Y","Y","AAB850311F611B41E040DC0A1F8A7174","1"
"KC10065","KC10065","PRFR","Application","","Administrator","","","Y","Y","AAB850311F631B41E040DC0A1F8A7174","1"
"KC10066","KC10066","PRFR","AwardBudget","","Approver","","","Y","Y","AAB850311F651B41E040DC0A1F8A7174","1"
"KC10067","KC10067","PRFR","Award","","Modifier","","","Y","Y","AAB850311F671B41E040DC0A1F8A7174","1"
"KC10068","KC10068","PRFR","AwardBudget","","Administrator","","","Y","Y","AAB850311F691B41E040DC0A1F8A7174","1"
"KC10069","KC10069","PRFR","OSP","","Administrator","","","Y","Y","AAB850311F6B1B41E040DC0A1F8A7174","1"
"KC10070","KC10070","PRFR","AwardBudget","","Aggregator","","","Y","Y","AAB850311F6D1B41E040DC0A1F8A7174","1"
"KC10071","KC10071","PRFR","AwardBudget","","Maintainer","","","Y","Y","AAB850311F6F1B41E040DC0A1F8A7174","1"
"KC10072","KC10072","PRFR","AwardDoc","","Maintainer","","","Y","Y","AAB850311F711B41E040DC0A1F8A7174","1"
"KC10073","KC10073","PRFR","AwardBudget","","Modifier","","","Y","Y","AAB850311F731B41E040DC0A1F8A7174","1"
"KC10074","KC10074","PRFR","DeptAward","","Viewer","","","Y","Y","AAB850311F751B41E040DC0A1F8A7174","1"
"KC10075","KC10075","PRFR","Template","","Viewer","","","Y","Y","AAB850311F771B41E040DC0A1F8A7174","1"
"KC10076","KC10076","PRFR","IRB","","Admin","","","Y","Y","AAB850311F791B41E040DC0A1F8A7174","1"
"KC10077","KC10077","PRFR","IRB","","AdminCardiology","","","Y","Y","AAB850311F7B1B41E040DC0A1F8A7174","1"
"KC10078","KC10078","PRFR","IRB","","Aggregator","","","Y","Y","AAB850311F7D1B41E040DC0A1F8A7174","1"
"KC10079","KC10079","PRFR","IRB","","Create","","","Y","Y","AAB850311F7F1B41E040DC0A1F8A7174","1"
