"ENTITY_PHONE_ID","ENTITY_ID","ENT_TYP_CD","PHONE_TYP_CD","PHONE_NBR","PHONE_EXTN_NBR","POSTAL_CNTRY_CD","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"10004","10002","PERSON","WRK","321-321-1199","","US","Y","Y","AA51CAC0EA5E7EC0E040DC0A1F8A40D0","1"
"10005","10002","PERSON","FAX","321-321-1260","","US","N","Y","AA51CAC0EA5F7EC0E040DC0A1F8A40D0","1"
"10006","10003","PERSON","WRK","321-321-1200","","US","Y","Y","AA51CAC0EA607EC0E040DC0A1F8A40D0","1"
"10007","10003","PERSON","FAX","321-321-1261","","US","N","Y","AA51CAC0EA617EC0E040DC0A1F8A40D0","1"
"10008","10004","PERSON","WRK","321-321-1201","","US","Y","Y","AA51CAC0EA627EC0E040DC0A1F8A40D0","1"
"10009","10004","PERSON","FAX","321-321-1262","","US","N","Y","AA51CAC0EA637EC0E040DC0A1F8A40D0","1"
"10010","10005","PERSON","WRK","321-321-1202","","US","Y","Y","AA51CAC0EA647EC0E040DC0A1F8A40D0","1"
"10011","10005","PERSON","FAX","321-321-1263","","US","N","Y","AA51CAC0EA657EC0E040DC0A1F8A40D0","1"
"10012","10006","PERSON","WRK","321-321-1203","","US","Y","Y","AA51CAC0EA667EC0E040DC0A1F8A40D0","1"
"10013","10006","PERSON","FAX","321-321-1264","","US","N","Y","AA51CAC0EA677EC0E040DC0A1F8A40D0","1"
"10014","10007","PERSON","WRK","321-321-1204","","US","Y","Y","AA51CAC0EA687EC0E040DC0A1F8A40D0","1"
"10015","10007","PERSON","FAX","321-321-1265","","US","N","Y","AA51CAC0EA697EC0E040DC0A1F8A40D0","1"
"10016","10008","PERSON","WRK","321-321-1205","","US","Y","Y","AA51CAC0EA6A7EC0E040DC0A1F8A40D0","1"
"10017","10008","PERSON","FAX","321-321-1266","","US","N","Y","AA51CAC0EA6B7EC0E040DC0A1F8A40D0","1"
"10018","10009","PERSON","WRK","321-321-1206","","US","Y","Y","AA51CAC0EA6C7EC0E040DC0A1F8A40D0","1"
"10019","10009","PERSON","FAX","321-321-1267","","US","N","Y","AA51CAC0EA6D7EC0E040DC0A1F8A40D0","1"
"10020","10010","PERSON","WRK","321-321-1207","","US","Y","Y","AA51CAC0EA6E7EC0E040DC0A1F8A40D0","1"
"10021","10010","PERSON","FAX","321-321-1268","","US","N","Y","AA51CAC0EA6F7EC0E040DC0A1F8A40D0","1"
"10022","10011","PERSON","WRK","321-321-1208","","US","Y","Y","AA51CAC0EA707EC0E040DC0A1F8A40D0","1"
"10023","10011","PERSON","FAX","321-321-1269","","US","N","Y","AA51CAC0EA717EC0E040DC0A1F8A40D0","1"
"10024","10012","PERSON","WRK","321-321-1209","","US","Y","Y","AA51CAC0EA727EC0E040DC0A1F8A40D0","1"
"10025","10012","PERSON","FAX","321-321-1270","","US","N","Y","AA51CAC0EA737EC0E040DC0A1F8A40D0","1"
"10026","10013","PERSON","WRK","321-321-1210","","US","Y","Y","AA51CAC0EA747EC0E040DC0A1F8A40D0","1"
"10027","10013","PERSON","FAX","321-321-1271","","US","N","Y","AA51CAC0EA757EC0E040DC0A1F8A40D0","1"
"10028","10014","PERSON","WRK","321-321-1211","","US","Y","Y","AA51CAC0EA767EC0E040DC0A1F8A40D0","1"
"10029","10014","PERSON","FAX","321-321-1272","","US","N","Y","AA51CAC0EA777EC0E040DC0A1F8A40D0","1"
"10030","10015","PERSON","WRK","321-321-1212","","US","Y","Y","AA51CAC0EA787EC0E040DC0A1F8A40D0","1"
"10031","10015","PERSON","FAX","321-321-1273","","US","N","Y","AA51CAC0EA797EC0E040DC0A1F8A40D0","1"
"10032","10016","PERSON","WRK","321-321-1213","","US","Y","Y","AA51CAC0EA7A7EC0E040DC0A1F8A40D0","1"
"10033","10016","PERSON","FAX","321-321-1274","","US","N","Y","AA51CAC0EA7B7EC0E040DC0A1F8A40D0","1"
"10034","10017","PERSON","WRK","321-321-1214","","US","Y","Y","AA51CAC0EA7C7EC0E040DC0A1F8A40D0","1"
"10035","10017","PERSON","FAX","321-321-1275","","US","N","Y","AA51CAC0EA7D7EC0E040DC0A1F8A40D0","1"
"10036","10018","PERSON","WRK","321-321-1215","","US","Y","Y","AA51CAC0EA7E7EC0E040DC0A1F8A40D0","1"
"10037","10018","PERSON","FAX","321-321-1276","","US","N","Y","AA51CAC0EA7F7EC0E040DC0A1F8A40D0","1"
"10038","10019","PERSON","WRK","321-321-1216","","US","Y","Y","AA51CAC0EA807EC0E040DC0A1F8A40D0","1"
"10039","10019","PERSON","FAX","321-321-1277","","US","N","Y","AA51CAC0EA817EC0E040DC0A1F8A40D0","1"
"10040","10020","PERSON","WRK","321-321-1217","","US","Y","Y","AA51CAC0EA827EC0E040DC0A1F8A40D0","1"
"10041","10020","PERSON","FAX","321-321-1278","","US","N","Y","AA51CAC0EA837EC0E040DC0A1F8A40D0","1"
"10042","10021","PERSON","WRK","321-321-1218","","US","Y","Y","AA51CAC0EA847EC0E040DC0A1F8A40D0","1"
"10043","10021","PERSON","FAX","321-321-1279","","US","N","Y","AA51CAC0EA857EC0E040DC0A1F8A40D0","1"
"10044","10022","PERSON","WRK","321-321-1219","","US","Y","Y","AA51CAC0EA867EC0E040DC0A1F8A40D0","1"
"10045","10022","PERSON","FAX","321-321-1280","","US","N","Y","AA51CAC0EA877EC0E040DC0A1F8A40D0","1"
"10046","10023","PERSON","WRK","321-321-1220","","US","Y","Y","AA51CAC0EA887EC0E040DC0A1F8A40D0","1"
"10047","10023","PERSON","FAX","321-321-1281","","US","N","Y","AA51CAC0EA897EC0E040DC0A1F8A40D0","1"
"10048","10024","PERSON","WRK","321-321-1221","","US","Y","Y","AA51CAC0EA8A7EC0E040DC0A1F8A40D0","1"
"10049","10024","PERSON","FAX","321-321-1282","","US","N","Y","AA51CAC0EA8B7EC0E040DC0A1F8A40D0","1"
"10050","10025","PERSON","WRK","321-321-1222","","US","Y","Y","AA51CAC0EA8C7EC0E040DC0A1F8A40D0","1"
"10051","10025","PERSON","FAX","321-321-1283","","US","N","Y","AA51CAC0EA8D7EC0E040DC0A1F8A40D0","1"
"10052","10026","PERSON","WRK","321-321-1223","","US","Y","Y","AA51CAC0EA8E7EC0E040DC0A1F8A40D0","1"
"10053","10026","PERSON","FAX","321-321-1284","","US","N","Y","AA51CAC0EA8F7EC0E040DC0A1F8A40D0","1"
"10054","10027","PERSON","WRK","321-321-1224","","US","Y","Y","AA51CAC0EA907EC0E040DC0A1F8A40D0","1"
"10055","10027","PERSON","FAX","321-321-1285","","US","N","Y","AA51CAC0EA917EC0E040DC0A1F8A40D0","1"
"10056","10028","PERSON","WRK","321-321-1225","","US","Y","Y","AA51CAC0EA927EC0E040DC0A1F8A40D0","1"
"10057","10028","PERSON","FAX","321-321-1286","","US","N","Y","AA51CAC0EA937EC0E040DC0A1F8A40D0","1"
"10058","10029","PERSON","WRK","321-321-1226","","US","Y","Y","AA51CAC0EA947EC0E040DC0A1F8A40D0","1"
"10059","10029","PERSON","FAX","321-321-1287","","US","N","Y","AA51CAC0EA957EC0E040DC0A1F8A40D0","1"
"10060","10030","PERSON","WRK","321-321-1227","","US","Y","Y","AA51CAC0EA967EC0E040DC0A1F8A40D0","1"
"10061","10030","PERSON","FAX","321-321-1288","","US","N","Y","AA51CAC0EA977EC0E040DC0A1F8A40D0","1"
"10062","10031","PERSON","WRK","321-321-1228","","US","Y","Y","AA51CAC0EA987EC0E040DC0A1F8A40D0","1"
"10063","10031","PERSON","FAX","321-321-1289","","US","N","Y","AA51CAC0EA997EC0E040DC0A1F8A40D0","1"
"10064","10032","PERSON","WRK","321-321-1229","","US","Y","Y","AA51CAC0EA9A7EC0E040DC0A1F8A40D0","1"
"10065","10032","PERSON","FAX","321-321-1290","","US","N","Y","AA51CAC0EA9B7EC0E040DC0A1F8A40D0","1"
"10066","10033","PERSON","WRK","321-321-1230","","US","Y","Y","AA51CAC0EA9C7EC0E040DC0A1F8A40D0","1"
"10067","10033","PERSON","FAX","321-321-1291","","US","N","Y","AA51CAC0EA9D7EC0E040DC0A1F8A40D0","1"
"10068","10034","PERSON","WRK","321-321-1231","","US","Y","Y","AA51CAC0EA9E7EC0E040DC0A1F8A40D0","1"
"10069","10034","PERSON","FAX","321-321-1292","","US","N","Y","AA51CAC0EA9F7EC0E040DC0A1F8A40D0","1"
"10070","10035","PERSON","WRK","321-321-1232","","US","Y","Y","AA51CAC0EAA07EC0E040DC0A1F8A40D0","1"
"10071","10035","PERSON","FAX","321-321-1293","","US","N","Y","AA51CAC0EAA17EC0E040DC0A1F8A40D0","1"
"10072","10036","PERSON","WRK","321-321-1233","","US","Y","Y","AA51CAC0EAA27EC0E040DC0A1F8A40D0","1"
"10073","10036","PERSON","FAX","321-321-1294","","US","N","Y","AA51CAC0EAA37EC0E040DC0A1F8A40D0","1"
"10074","10037","PERSON","WRK","321-321-1234","","US","Y","Y","AA51CAC0EAA47EC0E040DC0A1F8A40D0","1"
"10075","10037","PERSON","FAX","321-321-1295","","US","N","Y","AA51CAC0EAA57EC0E040DC0A1F8A40D0","1"
"10076","10038","PERSON","WRK","321-321-1235","","US","Y","Y","AA51CAC0EAA67EC0E040DC0A1F8A40D0","1"
"10077","10038","PERSON","FAX","321-321-1296","","US","N","Y","AA51CAC0EAA77EC0E040DC0A1F8A40D0","1"
"10078","10039","PERSON","WRK","321-321-1236","","US","Y","Y","AA51CAC0EAA87EC0E040DC0A1F8A40D0","1"
"10079","10039","PERSON","FAX","321-321-1297","","US","N","Y","AA51CAC0EAA97EC0E040DC0A1F8A40D0","1"
"10080","10040","PERSON","WRK","321-321-1237","","US","Y","Y","AA51CAC0EAAA7EC0E040DC0A1F8A40D0","1"
"10081","10040","PERSON","FAX","321-321-1298","","US","N","Y","AA51CAC0EAAB7EC0E040DC0A1F8A40D0","1"
"10082","10041","PERSON","WRK","321-321-1238","","US","Y","Y","AA51CAC0EAAC7EC0E040DC0A1F8A40D0","1"
"10083","10041","PERSON","FAX","321-321-1299","","US","N","Y","AA51CAC0EAAD7EC0E040DC0A1F8A40D0","1"
"10084","10042","PERSON","WRK","321-321-1239","","US","Y","Y","AA51CAC0EAAE7EC0E040DC0A1F8A40D0","1"
"10085","10042","PERSON","FAX","321-321-1300","","US","N","Y","AA51CAC0EAAF7EC0E040DC0A1F8A40D0","1"
"10086","10043","PERSON","WRK","321-321-1240","","US","Y","Y","AA51CAC0EAB07EC0E040DC0A1F8A40D0","1"
"10087","10043","PERSON","FAX","321-321-1301","","US","N","Y","AA51CAC0EAB17EC0E040DC0A1F8A40D0","1"
"10088","10044","PERSON","WRK","321-321-1241","","US","Y","Y","AA51CAC0EAB27EC0E040DC0A1F8A40D0","1"
"10089","10044","PERSON","FAX","321-321-1302","","US","N","Y","AA51CAC0EAB37EC0E040DC0A1F8A40D0","1"
"10090","10045","PERSON","WRK","321-321-1242","","US","Y","Y","AA51CAC0EAB47EC0E040DC0A1F8A40D0","1"
"10091","10045","PERSON","FAX","321-321-1303","","US","N","Y","AA51CAC0EAB57EC0E040DC0A1F8A40D0","1"
"10092","10046","PERSON","WRK","321-321-1243","","US","Y","Y","AA51CAC0EAB67EC0E040DC0A1F8A40D0","1"
"10093","10046","PERSON","FAX","321-321-1304","","US","N","Y","AA51CAC0EAB77EC0E040DC0A1F8A40D0","1"
"10094","10047","PERSON","WRK","321-321-1244","","US","Y","Y","AA51CAC0EAB87EC0E040DC0A1F8A40D0","1"
"10095","10047","PERSON","FAX","321-321-1305","","US","N","Y","AA51CAC0EAB97EC0E040DC0A1F8A40D0","1"
"10096","10048","PERSON","WRK","321-321-1245","","US","Y","Y","AA51CAC0EABA7EC0E040DC0A1F8A40D0","1"
"10097","10048","PERSON","FAX","321-321-1306","","US","N","Y","AA51CAC0EABB7EC0E040DC0A1F8A40D0","1"
"10098","10049","PERSON","WRK","321-321-1246","","US","Y","Y","AA51CAC0EABC7EC0E040DC0A1F8A40D0","1"
"10099","10049","PERSON","FAX","321-321-1307","","US","N","Y","AA51CAC0EABD7EC0E040DC0A1F8A40D0","1"
"10100","10050","PERSON","WRK","321-321-1247","","US","Y","Y","AA51CAC0EABE7EC0E040DC0A1F8A40D0","1"
"10101","10050","PERSON","FAX","321-321-1308","","US","N","Y","AA51CAC0EABF7EC0E040DC0A1F8A40D0","1"
"10102","10051","PERSON","WRK","321-321-1248","","US","Y","Y","AA51CAC0EAC07EC0E040DC0A1F8A40D0","1"
"10103","10051","PERSON","FAX","321-321-1309","","US","N","Y","AA51CAC0EAC17EC0E040DC0A1F8A40D0","1"
